Amharic	English	Afan Oromo
ባለቤቴ አሁን ምግብ እየሰራች ነው።	My wife is cooking now.	Haati manaa koo yeroo ammaa kana nyaata bilcheessaa jirti.
ብዙ ጊዜ ከወንድሞቸ ጋር እወዳለሁ።	I often like with my brothers.	Yeroo baayyee obboloota koo wajjin wal bira qabamee ilaalama.
ምክንያታዊ ሁን።	Be reasonable.	Sababa qabaadhu.
ይህን ካደረክ በፍፁም ይቅር አልልህም።	If you do this, I will never forgive you.	Yoo akkas goote yoomiyyuu dhiifama siif hin godhu.
እንደዚህ አይነት ረጅም ደብዳቤ እንዳትፅፍልኝ።	Don't write me such a long letter.	Xalayaa dheeraa akkasii naaf hin barreessin.
ጠበቃ የማማከርበት ጊዜ አሁን ይመስለኛል።	I think it's time to consult a lawyer.	Yeroon ani abukaatoo mariisisuu amma natti fakkaata.
ቶም ሁልጊዜ ያደርጋል የምትለውን ሲሰራ አይቸው አላውቅም።	I've never seen Tom do what you always say he does.	Toom waan ati yeroo hunda hojjeta jettu hojjechuu isaa argee hin beeku.
አይቻቸዋለሁ።	I saw them.	Isaan nan arga.
ሁላችንም ትንሽ ኩኩወች ነን ብየ አስባለሁ።	I think we're all a little cuckoo.	Hundi keenya xiqqoo Kukkuuwwan taane natti fakkaata.
ርካሽ ነገር አለህ።	You have something cheap.	Waan gatii salphaa ta'e qabduu.
ዛሬ በጣም ጥሩ ነገር ሆነ።	A very good thing happened today.	Har'a wanta baayyee gaarii ta'e.
ባለፈው አመት ከዩኒቨርሲቲ ተመርቄያለሁ።	I graduated from university last year.	Bara darbe yunivarsiitii irraan eebbifame.
ቀሪውን ህይወትህን አብሬው ማሳለፍ የምፈልገው እኔ ነኝ ብለህ ታስባለህ።	You think I'm the one you want to spend the rest of your life with.	Jireenya kee guutuu waliin dabarsuu kan barbaaddu ana sitti fakkaata.
ላስብበት እፈልጋለሁ።	I want to think about it.	Itti yaaduun barbaada.
የቤት ስራየን እሰራለሁ።	I do our homework.	Hojii manaa koon hojjedha.
የመኪና ማቆሚያ ቦታ አለ።	There is a parking lot.	Bakki konkolaataa dhaabuu jiraa.
የማይንቀሳቀስ ኤሌክትሪክን የሚያመጣው ምንድን ነው?	What causes static electricity?	Elektirikii istaatiksii maaltu fida?
አድስ የቤት እቃወች ገዛን።	We bought a new house.	Meeshaalee manaa haaraa bitanne.
እባኮትን እነዚህን ጫማወች ይልበሱ።	Please wear these shoes.	Maaloo kopheewwan akkanaa uffadhaa.
ሳይዘገይ አይቀርም።	It will probably be delayed.	Harkifachuun isaa hin oolu.
ቶም ይቅርታ ይጠይቃሉ።	Tom apologizes.	Toom dhiifama ni gaafata.
እያንዳንዱ ዶላር ይረዳል።	Every dollar helps.	Doolaarri hundi ni gargaara.
ልብሶችወን ይንከባከቡ።	Take care of your clothes.	Uffata kee kunuunsi.
የሆነ ነገር በሩ እንድጣበቅ እያደረገ ነው።	Something is causing the door to get stuck.	Waan tokko balbala akka maxxanu taasisaa jira.
ቸዝ መጫወት የማያውቁ ብዙ ሰወችን አውቃለሁ።	I know many people who have never played chess.	Namoota cheezii taphachuu hin beekne baay'een beeka.
ቶም ለማርያም የሳጥን ቸኮሌት ሰጠ, እና ከዚያም ሁሉንም ቸኮሌት እራሱ በላ።	Tom gave Mary a box of chocolates, and then he ate all the chocolates himself.	Toom Maariyaamif saanduqa chokoleetii tokko kenne, achiis ofii isaatii chokoleetii hunda nyaate.
ለምርምር የምናገኘው ገንዘብ ትንሽ ነው።	We get very little money for research.	Qorannoo kanaaf maallaqa xiqqoo qabna.
በቅድሚያ እንድከፈለኝ አጥብቄያለሁ።	I insist on being paid in advance.	Dursee kaffaltiin akka naaf kaffalamun eega.
እያንዳንዱ ዝርዝር ጉዳይ አስፈላጊ ነው።	Every detail matters.	Dhimma hundaa tarreessuun barbaachisaadha.
ኑሮውን የሚያገኘው ፒያኖ በመጫወት ነው።	He earns his living by playing the piano.	Jireenya isaa kan argatu piyaanoo taphachuudhaan.
ቶም የአለቃው እቅድ ውጤታማ ነው ብሎ አላሰበም።	Tom doesn't think the boss's plan is effective.	Toom karoorri hogganaa isaa bu'aa qaba jedhee hin yaadu.
የዚህ መፅሃፍ የወረቀት ቅጅ እትም አለ።	There is a paper version of this book.	Kitaabni kun waraqaa irratti barreeffame jiraa.
እዚህ መውጣት ያለብን ይመስለኛል።	I think we should get out of here.	As keessaa bahuu qabna jedheen yaada.
የነገው የአየር ሁኔታ ጥሩ ይሆናል ብለው ያስባሉ።	You think tomorrow's weather will be good.	Qilleensi boruu gaarii ta'a jettanii yaaddu.
ይህ ውሻ ይነክሳል።	This dog bites.	Sareen kun ni ciniinti.
እሱ ደስ ይለኛል።	I like him.	Isa nan jaalladha.
ታዳጊወች ብዙ ደደብ ነገሮችን ይሰራሉ።	Teenagers do a lot of stupid things.	Dargaggoonni waan gadhee baay'ee hojjetu.
በእጁ ውስጥ ያለ ወፍ በጫካ ውስጥ ሁለት ዋጋ አለው።	A bird in the hand is worth two in the forest.	Simbirroon harka keessa jirtu tokko bosona keessaa gatii lama qabdi.
ማዘግየት ጥበብ ነው።	Procrastination is wisdom.	Yeroo tursiisuun aartiidha.
ማሸነፍ አልችልም።	I can't win.	Injifachuu hin danda'u.
ያላቸውን ገንዘብ መጠቀም ነበረባቸው።	They had to use the money they had.	Maallaqa qaban sanatti fayyadamuu qabu turan.
ቀደም ብለው ስለመጡ እናመሰግናለን።	Thanks for coming early.	Daftanii waan dhuftaniif galatoomaa.
አስጌጥኩት።	I decorated it.	Anis faayame.
ሁላችንም ፒያኖ እንጫወታለን።	We all play the piano.	Hundi keenya piyaanoo ni taphanna.
በሳምንት አራት የፈረንሳይኛ ክፍሎች አሉን።	We have four French classes a week.	Torbanitti barnoota Afaan Faransaayii afur qabna.
ቶም በጃዝ ላይ በጣም ፍላጎት አለው።	Tom is very interested in jazz.	Toom jaaz irratti fedhii guddaa qaba.
በዚህ አይነት የአየር ሁኔታ ውስጥ መውጣት ደህና ነው ብየ አላምንም።	I don't think it's safe to go out in this kind of weather.	Haala qilleensaa akkanaa keessa bahuun waan nageenya qabu natti hin fakkaatu.
መሄድ ትፈልጋለህ።	You want to go.	Deemu barbaaddaa.
በወር አንድ ጊዜ እንተያያለን።	We see each other once a month.	Ji'atti al tokko wal argina.
ይህን ፕሮጀክት ያለእርስወ መጨረስ አንችልም።	We could not have completed this project without you.	Pirojektii kana isin malee xumuruu hin dandeenyu.
እኔ እንኳን አላስታውስም።	I don't even remember.	Anillee hin yaadadhu.
መንታ አልጋወች ያሉት ክፍል እየፈለግኩ ነው።	I am looking for a room with twin beds.	Kutaa siree lama qabu barbaada.
እዚህ ውስጥ ማጨስ የለብወትም።	You should not smoke in here.	As keessa tamboo xuuxuu hin qabdu.
ስለ ቶም አድስ ንቅሳት ምን ያስባሉ?	What do you think about Tom New's tattoo?	Tattoo haaraa Toom maal jettu?
ፈረንሳይኛ ብናገር እመኛለሁ።	I wish I could speak French.	Osoon afaan Faransaayii dubbachuu danda'ee natti tola.
የምችለውን ሁሉ አድርጌያለሁ።	I have done everything I can.	Waan danda'u hunda hojjedheera.
ያንንም አስተውያለሁ።	I noticed that too.	Sanas hubadheera.
በየምሽቱ ለመተኛት ራሴን አለቀስኩ።	I cried myself to sleep every night.	Halkan hunda hirribaaf ofumaan boo'a ture.
ቀላል ውሳኔ አልነበረም።	It was not an easy decision.	Murtoo salphaa hin turre.
መኪናየን እንድጠግኑኝ ጠየቅኳቸው።	I asked them to fix my car.	Konkolaataa koo akka naaf suphanin gaafadhe.
በራሳችን መካከል ብቻ እሱ የሚሳካ አይመስለኝም።	I don't think he can succeed just among ourselves.	Jidduu keenya qofatti, waan milkaa'u natti hin fakkaatu.
ለእሱ እርዳታ ምስጋና ይግባውና የቤት ስራየን ጨርሻለሁ።	Thanks to his help, I finished our homework.	Gargaarsa isaa irraa kan kaʼe hojii manaa koo xumureera.
በቂ ኦክስጅን እያገኙ ነው።	You are getting enough oxygen.	Oksijiinii gahaa argachaa jirtaa.
መንግስት በወይን ላይ አድስ ቀረጥ ጥሏል።	The government imposed a new tax on wine.	Mootummaan gibira haaraa wayinii irra kaa'eera.
ቃል መግባቱ ጠቃሚ ይመስለኛል።	I think it's important to make a commitment.	Waadaa galuun barbaachisaa natti fakkaata.
ቶም የሰላሳ አመቱ ነው።	Tom is thirty years old.	Toom umuriin isaa waggaa soddoma.
የንግዱን ዘደ አስተማረችው።	She taught him the tricks of the trade.	Tooftaa daldalaa isa barsiifte.
በመመለሴ ደስተኛ ነኝ።	I'm glad to be back.	Deebi'uu kootti gammadeera.
ሞቅ ያለ ቀን ነበር።	It was a warm day.	Guyyaa ho'aa ture.
ለተወሰነ ጊዜ ብቻየን መሆን አለብኝ።	I need to be alone for a while.	Yeroo muraasaaf kophaa ta'uun na barbaachisa.
እኔ ብቻ አልነበርኩም።	I wasn't the only one.	Ana qofa miti.
መብላት አለብህ።	You have to eat.	Nyaachuu qabda.
አሁንም አብደሃል አይደል?	You're still crazy, aren't you?	Ammallee maraattee jirta mitii?
አስፈሪው ፀጥታ በልባቸው ውስጥ ፍርሃትን ወረወረ።	The eerie silence struck fear into their hearts.	Callisni suukaneessaan sun onnee isaanii keessa shororkeessummaa buuse.
በካዚኖወች ውስጥ ብዙ ጊዜ አሳልፌያለሁ።	I spent a lot of time in casinos.	Yeroo baay'ee kaasinoo keessatti dabarseera.
ሁላችንም እዚህ ነን።	We are all here.	Hundi keenya as jirra.
የገና ጌጦች ወደ ላይ ይወጣሉ።	Christmas decorations go up.	Faaya ayyaana masqalaa ol ka'aa jira.
ባቡሩ በአውሎ ነፋሱ ቆመ።	The train was stopped by the storm.	Baaburri sun sababa obomboleettii kanaan dhaabbate.
አንድ ሽህ ዶላር በተጓዦች ቸኮች እና አምስት መቶ ጥሬ ገንዘብ አለኝ።	I have one thousand dollars in traveler's checks and five hundred in cash.	Cheekii imaltootaa doolaara kuma tokkoo fi maallaqa dhibba shan qaba.
ቶም ከማርያም ጋር ወደ ቦስተን ሄደ።	Tom moved to Boston with Mary.	Toom Maariyam waliin gara Booston deeme.
ማቋረጥ አቁም።	Stop interrupting.	Addaan kutuu dhiisaa.
ቶም ለምን አቆመ?	Why did Tom stop?	Toom maaliif hojii dhiisaa jira?
ያንን ህንፃ ተመልከት። ቤተመቅደስ ነው።	Look at that building.It is a temple.	Mee gamoo sana ilaali. Mana qulqullummaadhaa.
ኮቴን በአዳራሹ ቁም ሳጥን ውስጥ ሰቅየአለሁ።	I hang my coat in the hall closet.	Kootii koo sanduuqa dhaabbii galma keessaan fannise.
ወንበሮቹ ከእንጨት የተሰሩ ናቸው።	The chairs are made of wood.	Teessoowwan muka irraa kan hojjetamanidha.
እኔ አደርገዋለሁ፣ ከፈለግክ።	I will, if you will.	Ani nan raawwadha, yoo barbaadde.
ይህ መደበኛ አሰራር መሆን አለበት።	This should be standard practice.	Kun ammoo hoji- maata sadarkaa isaa eeggate ta'uu qaba.
ከቤት ውጭ መጫወት በጣም አስደሳች ነው።	Playing outdoors is a lot of fun.	Ala taphachuun baayyee nama gammachiisa.
ትናንት ማታ አንድ ሰው አፓርታማየን ሰብሮ ገባ።	Last night someone broke into our apartment.	Halkan edaa namni tokko mana jireenyaa koo cabsee seene.
ምንም አልወሰድኩም።	I didn't take anything.	Ani homaa hin fudhanne.
በየምሽቱ ስልክ እደውልልሃለሁ።	I call you every night.	Halkan hunda bilbilaan siif bilbila.
ድንገተኛ ህመም ተሰማው።	He felt a sudden pain.	Dhukkubbiin tasa itti dhaga'ame.
እርግጠኛ ነኝ ይህን እንዳላደርግ ነግረሀኝ አያውቅም።	I'm sure you never told me not to do that.	Kana hin godhin naan jettanii akka hin beekne mirkanaa'adha.
ወደ አንድ ዛፍ ሮጥኩ ።	I ran to a tree.	Muka tokkottin fiige.
ቶም ተከተለን።	Tom followed us.	Toom nu hordofe.
የዛ ድምፅ ወድጀዋለሁ።	I like the sound of that.	Sagaleen achii jaalladheera.
ቶም ለመምህሩ አንዳንድ ጥያቄወችን ጠየቀ።	Tom asked his teacher some questions.	Toom barsiisaa sana gaaffiiwwan tokko tokko gaafate.
የሆነ ነገር እያወኩ ነው።	Something is bothering me.	Waan tokko beekan jiraa.
አንዳንድ ሰወች ስጋ አይበሉም።	Some people don't eat meat.	Namoonni tokko tokko foon hin nyaatan.
ያንን አደንቃለሁ።	I appreciate that.	Sana nan dinqisiifadha.
ከዚህ ቡድን ጋር የሚያገናኘው ነገር አለ።	There is something to do with this group.	Garee kana waliin waan wal qabatu qabdaa.
የአበባው የአትክልት ቦታ ውሃ ማጠጣት ያስፈልገዋል።	The flower garden needs watering.	Iddoon biqiltuu dararaa bishaan obaasuu barbaada.
ዛሬ ጠዋት በማለዳ ተነሳሁ አሳ ለማጥመድ።	I got up early this morning to go fishing.	Har'a ganama barii ka'een qurxummii qabuuf deeme.
በመጨረሻ ወደ ቤት በመመለሴ በጣም ደስተኛ ነኝ።	I'm so happy to finally be back home.	Dhumarratti gara manaatti deebi'uu kootti baay'een gammada.
ቀስተ ደመና የተፈጥሮ ክስተት ነው።	A rainbow is a natural phenomenon.	Duumessi taatee uumamaati.
እዚያ ላይ የምታዩት ሰው አንድ ታዋቂ ፀሃፊ ነው።	The person you see there is a famous writer.	Namichi ati achitti argitu barreessaa beekamaadha.
በደንብ ብንተዋወቅ ኖሮ ጓደኛሞች እንደሆንን ከመሰማት በቀር ምንም አላልፍም።	If we had known each other well, I could not help but feel that we were friends.	Osoo caalaatti wal beeknee silaa hiriyyaa akka taanu natti dhaga'amuu dhiisuu hin danda'u.
ለምን ያህል ጊዜ መተኛት ይፈልጋሉ?	How long do you want to sleep?	Maalif Hanga yoomiitti rafuu barbaadda?
እገዳወቸን ማግኘት አልቻልኩም።	I can't find their ban.	Keessummoota argachuu hin danda'u.
ሱቁ እሁድ እለት ዝግ ነው።	The shop is closed on Sundays.	Dukkaanni kun Wiixata cufaadha.
እኔ በግጭቱ ውስጥ ተሳትፌ ነበር።	I was involved in the conflict.	Waldhabdee sana keessan ture.
ቶም የምፈልገውን ሁሉ ገዛልኝ።	Tom bought me everything I wanted.	Toom waanan barbaade hunda naaf bite.
በአገሪቱ ውስጥ ያሉ አውቶቡሶች በሰአቱ አይመጡም።	Buses in the country do not come on time.	Awutoobisoonni biyyattii yeroo baayyee yeroon hin dhufan.
ሱሪየ ያለ ቀበቶ ይወድቃል።	Pants fall without a belt.	Kofoon koo Saqqii malee gadi bu'a.
የእነሱ የገንዘብ ችግር በአመቱ ሁለተኛ አጋማሽ ላይ ተጀመረ።	Their financial problems started in the second half of the year.	Rakkoon maallaqaa isaanii walakkaa waggaa kurmaana lammaffaa irraa eegale.
ይህንን ማየት እፈልጋለሁ።	I want to see this.	Kana ilaaluun barbaada.
እንደዚያ እነግረዋለሁ።	I'll tell him so.	Akkas jedheen itti hima sana booda.
ከክረምት የበለጠ በጋን እወዳለሁ።	I love summer more than winter.	Yeroo ganna caalaa bonan jaalladha.
ባለህበት መቆየት ያለብህ ይመስለኛል።	I think you should stay where you are.	Bakka jirtutti turuu qabda jedheen yaada.
የህይወቱን ታሪክ ነገረኝ።	He told me his life story.	Seenaa jireenya isaa natti hime.
ከሌሎች ተማሪወች ጋር ለመቆየት ጠንክሬ መስራት ነበረብኝ።	I had to work hard to keep up with the other students.	Barattoota kaan wajjin waliin turuuf cimee hojjechuun qaba ture.
ቶም ከማርያም ጋር አይን እንዳይነካ የተቻለውን አድርጓል።	Tom did his best not to make eye contact with Mary.	Toom Meerii wajjin ijaan akka hin ilaalle waan dandaʼu hunda godheera.
ስብሰባውን መሰረዝ አለብን።	We have to cancel the meeting.	Walgahicha haquu qabna.
ለጥቂት ደቂቃወች መተኛት እፈልጋለሁ።	I want to sleep for a few minutes.	Daqiiqaa muraasaaf ciisuun barbaada.
ይህ እንደት ሊረዳ ይችላል።	This can help.	Sun akkamitti gargaara.
እባካችሁ በፍጥነት አትናገሩ።	Please don't speak too fast.	Adaraa akkas saffisaan hin dubbatinaa.
