Amharic,English,Oromo,duplication_group,pair_type,language_pair
አሁን ደርሰሃል።,Amma geessee.,Now you have arrived.,0,trilingual,en_am_or
የኔ ጫማ ካንተ ያነሱ ናቸው።,Kopheen koo kan kee caalaa xiqqaadha.,My shoes are smaller than yours.,0,trilingual,en_am_or
ምክሬ ቢኖርም ሃሳቡን አይቀይርም።,Gorsa koo ta'us yaada isaa hin jijjiiru.,He won't change his mind despite my advice.,0,trilingual,en_am_or
ምን ያህል እንደምታውቁት ሳይሆን ማድረግ የምትችሉት ነገር አስፈላጊ ነው።,Hammam akka beektu osoo hin taane waan gochuu dandeessutu lakkaa'ama.,"It's not how much you know that matters, but what you can do.",0,trilingual,en_am_or
ምንም ስህተት አንሰራም።,Waan badaa hin hojjennu.,We do no wrong.,0,trilingual,en_am_or
መፍትሄው ይህ ነው ብየ እገምታለሁ።,Furmaanni isaa kanuma jedheen tilmaama.,I guess that's the solution.,0,trilingual,en_am_or
መምረጥ እፈልጋለሁ።,Sagalee kennuun barbaada.,I want to choose.,0,trilingual,en_am_or
ይህ በጣም የተመጣጠነ ምሳ ነው።,Kun laaqana baayyee madaalawaa ta'edha.,This is a very nutritious lunch.,0,trilingual,en_am_or
ቶም በጣም በስተርጅና ሞተ።,Toom umrii isaa baayʼee dulloomaa taʼee duʼe.,Tom died very badly.,0,trilingual,en_am_or
እናቴ ለልብስ ብዙ ገንዘብ ታጠፋለች።,Harmeen koo uffataaf maallaqa guddaa baafti.,My mother spends a lot of money on clothes.,0,trilingual,en_am_or
ቶም የማይታመን ሰው ነው።,Toom nama amanamuu hin dandeenyedha.,Tom is an incredible man.,0,trilingual,en_am_or
ሁሉንም የእግር ስራወችን ሰራ።,Hojii miila hunda hojjete.,He did all the legwork.,0,trilingual,en_am_or
ትናንሽ ልጆችን አይምረጡ።,Ijoollee xixiqqoo hin filatinaa.,Do not choose small children.,0,trilingual,en_am_or
በማራቶን እንሳተፋለን።,Maraatoonii kana irratti ni hirmaanna.,We participate in a marathon.,0,trilingual,en_am_or
አሪፍ ነበር መሰለኝ።,Qabbanaa'aa natti fakkaate.,I thought it was cool.,0,trilingual,en_am_or
ጥዋት ሙሉ እየጠበቅን ነበር።,Ganama guutuu eegaa turre.,We have been waiting all morning.,0,trilingual,en_am_or
እያንዳንዱ ጭራቅ የሚጀምረው እንደ አንድ ሰው ህፃን ነው።,Tokkoon tokkoon bineensa hamaa akka daa'ima namaatti jalqaba.,Each monster starts out as a human baby.,0,trilingual,en_am_or
ገናን ትወዳለህ አይደል?,Ayyaana Qillee ni jaallatta mitii?,"You love Christmas, don't you?",0,trilingual,en_am_or
ይህ ክፍል ለቪአይፒወች ነው።,Kutaan kun VIP'f kan qophaa'edha.,This room is for VIPs.,0,trilingual,en_am_or
ሁሉም ሰው አባቱን ይወዳል።,Namni hunduu abbaa isaa ni jaallata.,Everyone loves their father.,0,trilingual,en_am_or
ምን ታደርጋለህ።,Maal goota.,what do you do.,0,trilingual,en_am_or
"እሷ አንድ ቀልድ ነገረችው, እሱ ግን አስቂኝ እንደሆነ አላሰበም።","Isheen qoosaa itti himte, inni garuu waan nama kofalchiisu itti hin fakkaanne.","She told him a joke, but he didn't think it was funny.",0,trilingual,en_am_or
ምርጫ አልሰጠናቸውም።,Filannoo isaaniif hin kennine.,We didn't give them a choice.,0,trilingual,en_am_or
ቶም መጫወት ይፈልጋል።,Toom taphachuu barbaada.,Tom wants to play.,0,trilingual,en_am_or
በቀጥታ ስጠኝ።,Kallattin naaf kenni.,Give it to me directly.,0,trilingual,en_am_or
አደጋወች በትንሹ በሚጠበቁበት ጊዜ ይከሰታሉ።,Balaan yeroo xiqqaa eegamutti ni mudata.,Accidents happen when least expected.,0,trilingual,en_am_or
መስራት መቀጠል አለብኝ።,Hojii isaa itti fufuu qofa qaba.,I have to keep working.,0,trilingual,en_am_or
እኛ እውን ነን።,Nuti dhugaa ta'uu keenya ilaalla.,We are real.,0,trilingual,en_am_or
ህፃናት ሲራቡ ያለቅሳሉ።,Daa'imman yeroo beela'an boo'u.,Babies cry when they are hungry.,0,trilingual,en_am_or
ጢምህን ወድጀዋለሁ።,Areedni kee natti tola.,I like your beard.,0,trilingual,en_am_or
ቤት ሰርተህ ታውቃለህ?,Mana ijaarrattanii beektuu?,Have you ever worked at home?,0,trilingual,en_am_or
ገንዘቡን መልሶ እንደከፈለው እገምታለሁ።,Maallaqa sana deebisee kaffaleera jedheen tilmaama.,I guess he paid him back.,0,trilingual,en_am_or
አንድ ሰው ስጦታ ልኮልናል።,Namni tokko kennaa nuuf erge.,Someone sent us a gift.,0,trilingual,en_am_or
ደብዳቤህ ትናንት ደርሶኛል።,Xalayaan kee kaleessa naaf dhufe.,I received your letter yesterday.,0,trilingual,en_am_or
የምችለውን ያህል እረዳለሁ።,Hamma danda'een gargaara.,I will help as much as I can.,0,trilingual,en_am_or
ይህን በራስህ እንደሰራህ እንዳምን ትጠብቃለህ።,Kana ofumaan akka goote akkan amanu na irraa eegduu.,You expect me to believe that you did this yourself.,0,trilingual,en_am_or
ስለሱ ምንም አስቤ አላውቅም።,Ani homaa itti yaadee hin beeku.,I never thought anything of it.,0,trilingual,en_am_or
እንደዚያ እንደምታደርግ ቃል ግባልኝ።,Akkas akka gootu waadaa naaf galchi.,Promise me that you will.,0,trilingual,en_am_or
ርእሰ ጉዳዩ እስካሁን ሙሉ በሙሉ አልተመረመረም።,Dhimmi kun hanga ammaatti guutummaatti hin qoratamne.,The subject has not yet been fully explored.,0,trilingual,en_am_or
ምን አልክ።,Maal jettee.,what are you saying.,0,trilingual,en_am_or
ሙዚቃ ማዳመጥ እወዳለሁ።,Muuziqaa dhaggeeffachuun natti tola.,I like listening to music.,0,trilingual,en_am_or
እንግሊዘኛ በፍፁም አልችልም።,Ani tasumaa Afaan Ingilizii dubbachuu hin danda'u.,I can never speak English.,0,trilingual,en_am_or
የዋጋ ጭማሪው ቀጥሏል።,Gatiin ol ka'uu itti fufeera.,The price hike continues.,0,trilingual,en_am_or
ቶም ለማስደሰት ከባድ ሰው ነው።,Toom gammachiisuuf nama rakkisaadha.,Tom is a hard man to please.,0,trilingual,en_am_or
ያንን ማድረግ አለበት።,sana gochuu qaba.,It should do that.,0,trilingual,en_am_or
እነዚያን ሁሉ ችግሮች በቀላሉ ፈታላቸው።,Rakkoolee sana hunda salphaatti hiike.,He solved all those problems easily.,0,trilingual,en_am_or
መዋኘት አትችልም።,Daakaa hin dandeessu.,You can't swim.,0,trilingual,en_am_or
ቶም ስለ እሱ ማውራት አይፈልግም።,Toom waa'ee kanaa dubbachuu hin barbaadu.,Tom doesn't want to talk about it.,0,trilingual,en_am_or
ቶምን በቅርብ ጊዜ አይተሃል?,Yeroo dhiyoo asitti Toom argiteettaa?,Have you seen Tom recently?,0,trilingual,en_am_or
ከጓደኞች የበለጠ አስፈላጊ ነገር የለም።,Hiriyyoota caalaa wanti barbaachisaa ta'e hin jiru.,Nothing is more important than friends.,0,trilingual,en_am_or
ስለ እሱ የበለጠ ማውራት አልፈለገም።,Waa'ee kanaa kana caalaa dubbachuu hin barbaanne.,He didn't want to talk more about it.,0,trilingual,en_am_or
ነፍሱ በሰማይ ነበረች።,Lubbuun isaa samii keessa turte.,His soul was in heaven.,0,trilingual,en_am_or
እንዳንተ ደነገጥኩኝ።,Anis akkuma kee rifadheera.,I was as shocked as you.,0,trilingual,en_am_or
በትምህርት ቤታችን አካባቢ የአውቶቡስ ማቆሚያ አለ።,Naannoo mana barumsaa keenyaatti buufata konkolaataatu jira.,There is a bus stop near our school.,0,trilingual,en_am_or
አለም መቸ ነው የሚያበቃው?,Addunyaan kun yoom dhumata?,When will the world end?,0,trilingual,en_am_or
ቤታችንን ልቀቁልን።,Mana keenya keessaa ba'aa.,We left our home.,0,trilingual,en_am_or
የምወድሽ ይመስለኛል።,Ani si jaalladha jedheen yaada.,I think I love you.,0,trilingual,en_am_or
ጥቁር አድርጎኛል።,Innis na gurraacheesse.,It made me black.,0,trilingual,en_am_or
ማን ይንከባከባል።,Eenyuutu si kunuunsa.,Who cares.,0,trilingual,en_am_or
እንተባበር።,Haa tumsinu.,Let's work together.,0,trilingual,en_am_or
በመንገዱ ማዶ ምቹ የሆነ መደብር በሰያፍ መልክ አለ።,Karaa sana gama biraatiin mana daldalaa mijataatu jira.,Across the street is a convenience store diagonally across the street.,0,trilingual,en_am_or
ሌላ ሰአት መጠበቅ ይችላል።,Sa'aatii biraa eeguu danda'aa.,It can wait another hour.,0,trilingual,en_am_or
አሁን አስር ዶላር የሚገዛው ከሶስት አመት በፊት ከአምስት ዶላር በታች ነው።,Doolaarri kudhan amma kan bitu waggaa sadii dura doolaara shanii gadidha.,Ten dollars now buys less than five dollars three years ago.,0,trilingual,en_am_or
በፓርኩ ውስጥ በጣም ብዙ ሰወች አሉ።,Paarkicha keessa namoonni baay'eedha.,There are too many people in the park.,0,trilingual,en_am_or
እራስህን ከሴት ልጅ ጋር ማስተዋወቅ ነበረብህ።,Silaa intala sanatti of beeksisuu qabda turte.,You should have introduced yourself to the girl.,0,trilingual,en_am_or
ውቅያኖሶች አለምን አንድ እስኪያደርጉት ድረስ አይከፋፈሉም።,Galaanni addunyaa kana hamma tokko godhanitti hin qoodaman.,The oceans will not part until they unite the world.,0,trilingual,en_am_or
ቤት ሄጀ የቤት ስራየን መስራት አለብኝ።,Manatti deebi'ee hojii manaa hojjechuu qaba.,I have to go home and do my homework.,0,trilingual,en_am_or
ሩጥ።,Fiigi.,run away.,0,trilingual,en_am_or
እስኪ ላጣራ።,Nan bara.,Let me check.,0,trilingual,en_am_or
ልጅቷ የራሷን ጥላ ፈራች።,Intalti gaaddidduu ofii sodaatte.,The girl was afraid of her own shadow.,0,trilingual,en_am_or
እኔ ራሴ እነዚህን ሳጥኖች ሰራኋቸው።,Sanduuqawwan kana ofumaan hojjedhe.,I made these boxes myself.,0,trilingual,en_am_or
ለቶም ገላዋን ልሰጥ ነው።,Toomiif qaama ishee kennuuf deemti.,I'm going to give Tom her body.,0,trilingual,en_am_or
የቴርሚኔተር ፊልሞችን እወዳቸዋለሁ ምክንያቱም ልዩ ተፅእኖወች አስደናቂ ናቸው።,Fiilmoonni Terminator kanan jaalladhuf taatee addaa waan qabaniif.,I love the Terminator movies because the special effects are amazing.,0,trilingual,en_am_or
ረዥም ፀጉር አሁን ፋሽን አልቋል።,Rifeensi dheeraan amma faashinii ala ta'eera.,Long hair is now out of fashion.,0,trilingual,en_am_or
ሁሉንም ነገር መሰረዝ የተሻለ ሃሳብ አይሆንም።,Waan hunda haquun yaada gaarii hin ta'uu.,Deleting everything is not a good idea.,0,trilingual,en_am_or
አትዋሹን።,Nu hin sobin.,Don't lie to us.,0,trilingual,en_am_or
ካሜራየ በባቡር ውስጥ ተሰረቀ።,Kaameeraan koo baabura keessatti hatame.,A camera was stolen in a train.,0,trilingual,en_am_or
ከጥቂት ቀናት በፊት ታመመ።,Guyyoota muraasa dura dhukkubsate.,He got sick a few days ago.,0,trilingual,en_am_or
የት ላስቀምጥ?,Eessa kaa'uu qaba?,Where should I put it?,0,trilingual,en_am_or
ቶም በቦስተን ውስጥ ቤተሰብም አለው።,Toom maatii Boston keessa qaba.,Tom also has family in Boston.,0,trilingual,en_am_or
አንዳንድ ጊዜ ለመንዳት እንሄዳለን።,Yeroo tokko tokko konkolaataa oofuu deemna.,Sometimes we go for a drive.,0,trilingual,en_am_or
በጣም በፍጥነት ይሮጣል።,Baayyee saffisaan fiiga.,It runs very fast.,0,trilingual,en_am_or
ይስማማል ወይ?,Waliif galtaa?,Does it agree?,0,trilingual,en_am_or
በቶም መታመን እንችላለን።,Toomii irratti amanuu dandeenya.,We can trust Tom.,0,trilingual,en_am_or
መጨነቅ አቁም።,Yaadda'uu dhiisaa.,Stop worrying.,0,trilingual,en_am_or
ብቻህን መሄድ የለብህም።,Kophaa kee deemuu hin qabdu.,You don't have to go alone.,0,trilingual,en_am_or
አባቴ የሚሰራበት ህንፃ ነው።,Gamoo abbaan koo itti hojjetudha.,It is the building where my father works.,0,trilingual,en_am_or
እዚህ እኩለ ቀን ነው።,Asitti guyyaa walakkaa ta'eera.,It's noon here.,0,trilingual,en_am_or
መንቀሳቀስ አልቻልኩም።,Sochoʼuu baayʼee rakkadheera.,I couldn't move.,0,trilingual,en_am_or
እሱ ትንሽ ሰክሯል።,Xiqqoo machaa'eera.,He's a little drunk.,0,trilingual,en_am_or
ምንም ነገር አልሰማም።,Waan tokkollee hin dhaga'u.,I didn't hear anything.,0,trilingual,en_am_or
ልጆቹን አስተኛቸው።,Ijoollee raffisee.,Put the children to sleep.,0,trilingual,en_am_or
ማጥመድ ይወዳሉ።,Qurxummii qabuu ni jaallattaa.,They like fishing.,0,trilingual,en_am_or
በወንዙ ዳር በእግር እንጓዝ።,Qarqara lagaa kana miilan haa adeemnu.,Let's take a walk along the river.,0,trilingual,en_am_or
በምርጫው ሁለቱም ፓርቲወች እኩል ናቸው።,Filannoo kana irratti paartileen lamaan walqixa.,Both parties are equal in the election.,0,trilingual,en_am_or
ወጣቶች በፈተና ውስጥ ለመውደቅ ይጋለጣሉ።,Dargaggoonni qorumsa keessatti kufuuf saaxilamu.,Young people are prone to fail in temptation.,0,trilingual,en_am_or
ቢሮየ ውስጥ እንነጋገር።,Waajjira koo keessatti haa dubbannu.,Let's talk in the office.,0,trilingual,en_am_or
ይህን መጥፎ ልማድ ማስወገድ ያስፈልግወታል።,Amala gadhee kana dhiisuu qabda.,You need to get rid of this bad habit.,0,trilingual,en_am_or
ቦታ እፈልጋለሁ።,Bakka na barbaachisa.,I need a place.,0,trilingual,en_am_or
ከቶም ልጆች አንዱ ሃኪም ሆነ።,Ilmaan Toom keessaa tokko hakiima ta'e.,One of Tom's sons also became a doctor.,0,trilingual,en_am_or
ቅሬታህ እየሰለቸኝ ነው።,Komii keessan na nuffisiisaa jira.,I'm getting tired of your complaining.,0,trilingual,en_am_or
በኔ ቦታ በስብሰባ ላይ ተገኝቷል።,Innis bakka kootti walgaʼicha irratti argame.,He attended a meeting at my place.,0,trilingual,en_am_or
ግጥሚያ እፈልጋለሁ አንድ አለህ።,Tapha barbaada. Tokko qabdaa.,"I want a match, you have one.",0,trilingual,en_am_or
ማርያም አትማርክም።,Maariyaam nama hin hawwattu.,Mary is not impressed.,0,trilingual,en_am_or
ፖሊስ ሰወች ከእስር ቤት ካመለጡ በኋላ በሽሽት ላይ ያሉ ሁለት እስረኞችን ሲፈልጉ።,Poolisiin hidhamtoota mana hidhaa keessaa miliqanii baqatan lama barbaadaa waan jiraniif.,Police are looking for two prisoners who escaped from prison.,0,trilingual,en_am_or
ቃላት ሊገልፁት አይችሉም።,Jechoonni ibsuu hin danda'an.,Words cannot describe it.,1,trilingual,en_am_or
ማድረግ የምትችለው ትንሽ ነገር አመሰግናለሁ ማለት ነው።,Wanti xiqqaan ati gochuu dandeessu galatoomaa jechuu qofa.,The least you can do is say thank you.,1,trilingual,en_am_or
በብድር መክፈል እችላለሁ?,Liqiin kaffaluu nan danda'aa?,can I pay with a loan?,1,trilingual,en_am_or
ይህን ጩሀት ከአሁን በኋላ መታገስ አልችልም።,Kana booda sagalee kana obsuu hin danda'u.,I can't stand this noise anymore.,1,trilingual,en_am_or
ይህ ግጥም ሊገባኝ አልቻለም።,Walaloo kana hubachuu hin danda'u.,I can't understand this poem.,1,trilingual,en_am_or
ኮምፒውተር መጠቀም ከቻልኩ የበለጠ ሊከፍሉኝ ይችላሉ።,Osoon kompiitara fayyadamuu danda'ee kaffaltii dabalataa naaf kaffaluu danda'u.,"If I can use a computer, they can pay me more.",1,trilingual,en_am_or
ምን ማለት እንደሆነ አብራራ።,Sun maal jechuu akka ta'e ibsi.,Explain what that means.,1,trilingual,en_am_or
ነገ ጎልፍ ስለመጫወትስ?,Boru goolfii taphachuun akkam ta'a?,What about playing golf tomorrow?,1,trilingual,en_am_or
እንደ እድል ሆኖ፣ የሻርክ ንክሻው ምንም አይነት ትልቅ ደም ወሳጅ ቧንቧወችን አልመታም።,"Akka carraa ta'ee, ciniiname shaarkiin kun ujummoolee dhiigaa gurguddoo tokkollee hin rukunne.","Fortunately, the shark bite didn't hit any major arteries.",1,trilingual,en_am_or
ወደ ስራ ብትገባ ይሻልሃል።,Hojiitti galuu wayya.,You better get to work.,1,trilingual,en_am_or
ቶሎ እንድመጣ ቃል ገባልኝ።,Dafee akka dhufu waadaa naaf gale.,He promised me to come soon.,1,trilingual,en_am_or
ሰወች እውነትን አይፈልጉም።,Namoonni dhugaa hin fedhan.,People don't want the truth.,1,trilingual,en_am_or
ረድቻለሁ።,Gargaareera.,I helped.,1,trilingual,en_am_or
ነገ ቀለበት ስጠኝ።,Boru kupheela naaf kenni.,Give me a ring tomorrow.,1,trilingual,en_am_or
ለእርዳታ እርስወን እየፈለጉ ነው።,Gargaarsaf isin ilaalaa jiru.,They are looking to him for help.,1,trilingual,en_am_or
በዘመናት አላየሁህም።,Barootaaf si hin argine.,I haven't seen you in ages.,1,trilingual,en_am_or
ወጥ ቤት ውስጥ ማንም የለም።,Kushina keessa namni hin jiru.,No one is in the kitchen.,1,trilingual,en_am_or
ማረፊያ እፈልጋለሁ።,Boqonnaa barbaachisa.,I need accommodation.,1,trilingual,en_am_or
ወድያውኑ ውጤቱን እንደማትጠብቁ ተስፋ አደርጋለሁ።,Bu'aa hatattamaa akka hin eegne abdiin qaba.,I hope you don't expect immediate results.,1,trilingual,en_am_or
