Amharic,Oromo,English
ቶም ማርያምን ይቅርታ የመጠየቅ ሃሳብ የለውም።,Toom Maariyaamin dhiifama gaafachuuf yaada hin qabu.,Tom has no intention of apologizing to Mary.
ሆካይዶ በጃፓን ሰሜናዊ ክፍል ውስጥ ይገኛል።,Hokkaidoon kutaa kaaba Jaappaan keessatti argamti.,Hokkaido is located in the northern part of Japan.
እዚያ ያሉትን ሁሉንም አውቀዋለሁ።,Namoota achi jiran hunda nan beeka ture.,I know everyone there.
ገና ልጅ ነህ።,Ati mucaa dha.,You are still a child.
ወደ ሰሜን እየሄድን ነው።,Gara kaabaatti deemaa jirra.,We are heading north.
አድሱ መፅሄት መቸ ይወጣል።,Barruun haaraan kun yoom baʼa.,Adsu magazine will be published soon.
ይህ ልብስስ?,Uffanni kun hoo?,What about this dress?
ጦርነት ክፉ ነው።,Waraanni hamaadha.,War is evil.
ትልቅ ፍንዳታ ነበር።,Dhohinsa guddaa ture.,It was a big blast.
ስራ ላይ እንዳዋሉህ አይቻለሁ።,Hojiitti si galchan nan arga.,I see they put you to work.
ይህ ዳቦ እንደ ካርቶን ጣእም አለው።,Daabboon kun akka kaartoonii dhandhama.,This bread tastes like cardboard.
የዚህን ጥያቄ መልስ ባውቅ እመኛለሁ።,Deebii gaaffii kanaa osoon beekee natti tola.,I wish I knew the answer to this question.
በመጀመሪያ ደረጃ ስለምንበላውና ስለምንጠጣው ነገር መጠንቀቅ አለብን።,Jalqaba irratti waan nyaannu fi dhugnu irratti of eeggannoo gochuu qabna.,"First of all, we should be careful about what we eat and drink."
በቤትወ ሁለተኛ ፎቅ ላይ ስንት ክፍሎች አሉ?,Mana keessan sadarkaa lammaffaa irratti kutaa meeqatu jira?,How many rooms are there on the second floor of your house?
የውስጥ ሱሪ ውስጥ ነኝ።,Uffata jalaa uffadheen jira.,I'm in my underwear.
ጠቃሚ ነገሮችን መፈልሰፍ እወዳለሁ።,Wantoota faayidaa qaban kalaquu nan jaalladha.,I like to invent useful things.
የመኪናወ ቁልፎች የት አሉ?,Furtuu konkolaataa eessa jira?,Where are the car keys?
ዝም ብየ በሆነ ነገር ላይ ጭንቅላቴን መታሁ።,Calliseen waan tokkorratti mataa of rukute.,I just hit my head on something.
በቅርቡ ዝናብ የሚዘንብ ይመስላል።,Yeroo dhiyootti roobni waan roobu fakkaata.,Looks like it's going to rain soon.
ይህን አልፈልግም።,Kana hin barbaadu.,I don't want this.
"አንዳንዶች የእሱን ታሪክ አመኑ, እና ሌሎች ግን አያምኑም።","Gariin seenaa isaa kan amanan, kaan immoo hin amanne.","Some believed his story, and others did not."
ተራ በተራ ከተናገርኩ ይቅርታ።,Dabareen ala yoo dubbadhe dhiifama.,Sorry if I spoke out of turn.
አስቂኝ አልነበረም፣ ግን ሳቅሁ።,Waan nama kolfisiisu hin turre garuu kolfe.,"It wasn't funny, but I laughed."
ለመጀመር ሁላችሁንም ላመሰግናችሁ እፈልጋለሁ።,"Jalqabaaf, hunda keessan galateeffachuu barbaada.","To begin with, I want to thank you all."
የአየር ሁኔታ ትንበያው የተሳሳተ ነበር።,Raagaan haala qilleensaa dogoggora ture.,The weather forecast was wrong.
እንደገና አንብቤዋለሁ።,Ammas dubbise.,I read it again.
የመጨረሻውን ትንፋሽ ሰጠ።,Hafuura dhumaa baafate.,He breathed his last.
ቶም ለገና ማርያም ወደ ቦስተን እንድትመጣ ፈለገ።,Toom Maariyam ayyaana Qillee irratti gara Booston akka dhuftu barbaade.,Tom wants Mary to come to Boston for Christmas.
የአውሮፕላኑ አደጋ ባለፈው ሳምንት ብቻ ነበር።,Balaan xiyyaarichaa torbee darbe qofa ture.,The plane crash was just last week.
ለመግለፅ ይከብዳል።,Ibsuun nama rakkisa.,It's hard to describe.
ይህ ሁሉ ቢያልቅ እመኛለሁ።,Kun hundi osoo xumuramee natti tola.,I wish this would all end.
ድምፁ በተግባር የማይታይ ነበር።,Sagaleen sun qabatamaan kan hin mul'anne ture.,The sound was practically invisible.
ህልም አለኝ።,Abjuun qaba.,i have a dream.
ቶም ዛሬ ይደርሳል ተብሎ ይጠበቃል።,Toom har'a ni gaha jedhameera eegama.,Tom is expected to arrive today.
ቶም ምን ለማድረግ እንዳሰበ ተናግሮ አያውቅም።,Toom waan hojjechuuf karoorfate gonkumaa dubbatee hin beeku.,ERROR: [Errno 101] Network is unreachable.
ማንም ስለእኛ አያስብም።,Namni nuuf yaadu hin jiru.,No one cares about us.
የተከበርኩ ነጋደ ነኝ።,Ani daldalaa kabajamaa dha.,I am a respected businessman.
ባቡሩ ዛሬ አስር ደቂቃ ቀርቷል።,Baaburri har'a daqiiqaa kudhaniin duubatti hafeera.,The train is ten minutes late today.
ጊዜ ማባከኑን እናቁም።,Yeroo qisaasessuu haa dhiifnu.,Let's stop wasting time.
ፀሃፊ መሆን አለብህ።,Barreessaa ta'uu qabda.,You must be a writer.
እንደገና ማድረግ አለብኝ።,Irra deebi'ee gochuun qaba.,I have to do it again.
በስራወ ውስጥ ስኬትን እመኝልወታለሁ።,Hojii keessan irratti milkaa'ina isiniif hawwa.,I wish you success in your work.
ትንሽ እገዛ እፈልጋለሁ።,Gargaarsa xiqqoon barbaada.,I need a little help.
ለዚህ ሶፍትዌር የተጠቃሚ መመሪያን ፃፍኩ።,Mosaajii kanaaf qajeelfama fayyadamaa barreesseen ture.,I wrote a user manual for this software.
መጀመሪያ ብትደውልልኝ እመኛለሁ።,Osoo dursitee bilbiltee natti tola.,I wish you would call me first.
እንደዚያ ትወዳለህ።,Akkas ni jaallattaa.,You like it that way.
ይህን ርእሰ ጉዳይ በደንብ አውቀዋለሁ።,Dhimma kana sirritti nan beeka.,I know this subject very well.
ለምን ክፍልህ ገብተህ አትጫወትም።,Maaliif kutaa seentee hin taphattu.,Why don't you go to your room and play.
እንደገና ፃፍኩት።,Irra deebi'een barreesse.,I wrote it again.
ይህንን መርህ በህይወት ውስጥ በሁሉም ነገር ላይ ይተገበራል።,Qajeelfamni kun jireenya keessatti waan hundaaf ni hojjeta.,This principle applies to everything in life.
ወደ ቡይ እንዋኝ።,Mee gara buoy sanaatti haa daaknu.,Let's swim to the buoy.
መደነስ እፈልጋለሁ።,Shubbisuu nan barbaada.,I want to dance.
እባክወ እነዚህን ወረቀቶች በጥንቃቄ ይመልከቱ።,Maaloo waraqaawwan kana sirriitti ilaalaa.,Please review these papers carefully.
ለአሁን ያ ብቻ ነው ወገኖች።,Ammaaf kana qofa yaa sabaa.,That's all for now folks.
ስለባልደረቦቿ አንዳንድ አዋራጅ አስተያየቶችን ተናገረች።,Waa'ee namoota ishee wajjin hojjetan yaada xiqqeessuu tokko tokko dubbatteetti.,She made some disparaging comments about her colleagues.
ብዙ ጊዜ የቶም መኪና ትበድራለህ።,Yeroo baayʼee konkolaataa Toomii ni liqeessitaa.,You often borrow Tom's car.
እድለኛ ነህ።,Carraa qabeessadha ati.,You are lucky.
ልጇን በፍቅር ተንከባከበችው።,Mucaa ishee jaalalaan hammaatte.,She took care of her son with love.
ስብሰባው እስከ ነገ ተራዝሟል።,Walgahiin kun hanga guyyaa boruutti dheereffamee jira.,The meeting has been adjourned till tomorrow.
አማራጭ እቅድ አቀረበ።,Karoora filannoo biraa dhiheesse.,He proposed an alternative plan.
ኢንደስትሪላይዜሽን በጃፓን ኢኮኖሚ እድገት ላይ ትልቅ ተፅእኖ ነበረው።,Industirii guddina dinagdee Jaappaan irratti dhiibbaa guddaa qaba ture.,Industrialization had a major impact on Japan's economic growth.
ውሸት መናገሩን ቀጠለ።,Soba dubbachuu itti fufe.,He continued to lie.
እሷ መምጣት ትእግስት አጥቸ ነበር።,Dhufaatii isheetiif obsa dhabe.,He was impatient for her to come.
እርግጠኛ ነኝ ይህንን የሰበርኩት እኔ ሳልሆን ነው።,Kana kan cabse ana akka hin taane mirkanaa'adha.,I'm pretty sure I didn't break this.
ቤቱ ዝግጁ ነው።,Manni qophiidhaa.,The house is ready.
ባለቤቴ አሁን ምግብ እየሰራች ነው።,Haati manaa koo yeroo ammaa kana nyaata bilcheessaa jirti.,My wife is cooking now.
ብዙ ጊዜ ከወንድሞቸ ጋር እወዳለሁ።,Yeroo baayyee obboloota koo wajjin wal bira qabamee ilaalama.,I often like with my brothers.
ምክንያታዊ ሁን።,Sababa qabaadhu.,Be reasonable.
ይህን ካደረክ በፍፁም ይቅር አልልህም።,Yoo akkas goote yoomiyyuu dhiifama siif hin godhu.,"If you do this, I will never forgive you."
እንደዚህ አይነት ረጅም ደብዳቤ እንዳትፅፍልኝ።,Xalayaa dheeraa akkasii naaf hin barreessin.,Don't write me such a long letter.
ጠበቃ የማማከርበት ጊዜ አሁን ይመስለኛል።,Yeroon ani abukaatoo mariisisuu amma natti fakkaata.,I think it's time to consult a lawyer.
ቶም ሁልጊዜ ያደርጋል የምትለውን ሲሰራ አይቸው አላውቅም።,Toom waan ati yeroo hunda hojjeta jettu hojjechuu isaa argee hin beeku.,I've never seen Tom do what you always say he does.
አይቻቸዋለሁ።,Isaan nan arga.,I saw them.
ሁላችንም ትንሽ ኩኩወች ነን ብየ አስባለሁ።,Hundi keenya xiqqoo Kukkuuwwan taane natti fakkaata.,I think we're all a little cuckoo.
ርካሽ ነገር አለህ።,Waan gatii salphaa ta'e qabduu.,You have something cheap.
ዛሬ በጣም ጥሩ ነገር ሆነ።,Har'a wanta baayyee gaarii ta'e.,A very good thing happened today.
ባለፈው አመት ከዩኒቨርሲቲ ተመርቄያለሁ።,Bara darbe yunivarsiitii irraan eebbifame.,I graduated from university last year.
ቀሪውን ህይወትህን አብሬው ማሳለፍ የምፈልገው እኔ ነኝ ብለህ ታስባለህ።,Jireenya kee guutuu waliin dabarsuu kan barbaaddu ana sitti fakkaata.,You think I'm the one you want to spend the rest of your life with.
ላስብበት እፈልጋለሁ።,Itti yaaduun barbaada.,I want to think about it.
የቤት ስራየን እሰራለሁ።,Hojii manaa koon hojjedha.,I do our homework.
የመኪና ማቆሚያ ቦታ አለ።,Bakki konkolaataa dhaabuu jiraa.,There is a parking lot.
የማይንቀሳቀስ ኤሌክትሪክን የሚያመጣው ምንድን ነው?,Elektirikii istaatiksii maaltu fida?,What causes static electricity?
አድስ የቤት እቃወች ገዛን።,Meeshaalee manaa haaraa bitanne.,We bought a new house.
እባኮትን እነዚህን ጫማወች ይልበሱ።,Maaloo kopheewwan akkanaa uffadhaa.,Please wear these shoes.
ሳይዘገይ አይቀርም።,Harkifachuun isaa hin oolu.,It will probably be delayed.
ቶም ይቅርታ ይጠይቃሉ።,Toom dhiifama ni gaafata.,Tom apologizes.
እያንዳንዱ ዶላር ይረዳል።,Doolaarri hundi ni gargaara.,Every dollar helps.
ልብሶችወን ይንከባከቡ።,Uffata kee kunuunsi.,Take care of your clothes.
የሆነ ነገር በሩ እንድጣበቅ እያደረገ ነው።,Waan tokko balbala akka maxxanu taasisaa jira.,Something is causing the door to get stuck.
ቸዝ መጫወት የማያውቁ ብዙ ሰወችን አውቃለሁ።,Namoota cheezii taphachuu hin beekne baay'een beeka.,I know many people who have never played chess.
"ቶም ለማርያም የሳጥን ቸኮሌት ሰጠ, እና ከዚያም ሁሉንም ቸኮሌት እራሱ በላ።","Toom Maariyaamif saanduqa chokoleetii tokko kenne, achiis ofii isaatii chokoleetii hunda nyaate.","Tom gave Mary a box of chocolates, and then he ate all the chocolates himself."
ለምርምር የምናገኘው ገንዘብ ትንሽ ነው።,Qorannoo kanaaf maallaqa xiqqoo qabna.,We get very little money for research.
በቅድሚያ እንድከፈለኝ አጥብቄያለሁ።,Dursee kaffaltiin akka naaf kaffalamun eega.,I insist on being paid in advance.
እያንዳንዱ ዝርዝር ጉዳይ አስፈላጊ ነው።,Dhimma hundaa tarreessuun barbaachisaadha.,Every detail matters.
ኑሮውን የሚያገኘው ፒያኖ በመጫወት ነው።,Jireenya isaa kan argatu piyaanoo taphachuudhaan.,He earns his living by playing the piano.
ቶም የአለቃው እቅድ ውጤታማ ነው ብሎ አላሰበም።,Toom karoorri hogganaa isaa bu'aa qaba jedhee hin yaadu.,Tom doesn't think the boss's plan is effective.
የዚህ መፅሃፍ የወረቀት ቅጅ እትም አለ።,Kitaabni kun waraqaa irratti barreeffame jiraa.,There is a paper version of this book.
እዚህ መውጣት ያለብን ይመስለኛል።,As keessaa bahuu qabna jedheen yaada.,I think we should get out of here.
የነገው የአየር ሁኔታ ጥሩ ይሆናል ብለው ያስባሉ።,Qilleensi boruu gaarii ta'a jettanii yaaddu.,You think tomorrow's weather will be good.
ይህ ውሻ ይነክሳል።,Sareen kun ni ciniinti.,This dog bites.
እሱ ደስ ይለኛል።,Isa nan jaalladha.,I like him.
ታዳጊወች ብዙ ደደብ ነገሮችን ይሰራሉ።,Dargaggoonni waan gadhee baay'ee hojjetu.,Teenagers do a lot of stupid things.
በእጁ ውስጥ ያለ ወፍ በጫካ ውስጥ ሁለት ዋጋ አለው።,Simbirroon harka keessa jirtu tokko bosona keessaa gatii lama qabdi.,A bird in the hand is worth two in the forest.
ማዘግየት ጥበብ ነው።,Yeroo tursiisuun aartiidha.,Procrastination is wisdom.
ማሸነፍ አልችልም።,Injifachuu hin danda'u.,I can't win.
ያላቸውን ገንዘብ መጠቀም ነበረባቸው።,Maallaqa qaban sanatti fayyadamuu qabu turan.,They had to use the money they had.
ቀደም ብለው ስለመጡ እናመሰግናለን።,Daftanii waan dhuftaniif galatoomaa.,Thanks for coming early.
አስጌጥኩት።,Anis faayame.,I decorated it.
ሁላችንም ፒያኖ እንጫወታለን።,Hundi keenya piyaanoo ni taphanna.,We all play the piano.
በሳምንት አራት የፈረንሳይኛ ክፍሎች አሉን።,Torbanitti barnoota Afaan Faransaayii afur qabna.,We have four French classes a week.
ቶም በጃዝ ላይ በጣም ፍላጎት አለው።,Toom jaaz irratti fedhii guddaa qaba.,Tom is very interested in jazz.
በዚህ አይነት የአየር ሁኔታ ውስጥ መውጣት ደህና ነው ብየ አላምንም።,Haala qilleensaa akkanaa keessa bahuun waan nageenya qabu natti hin fakkaatu.,I don't think it's safe to go out in this kind of weather.
መሄድ ትፈልጋለህ።,Deemu barbaaddaa.,You want to go.
በወር አንድ ጊዜ እንተያያለን።,Ji'atti al tokko wal argina.,We see each other once a month.
ይህን ፕሮጀክት ያለእርስወ መጨረስ አንችልም።,Pirojektii kana isin malee xumuruu hin dandeenyu.,We could not have completed this project without you.
እኔ እንኳን አላስታውስም።,Anillee hin yaadadhu.,I don't even remember.
መንታ አልጋወች ያሉት ክፍል እየፈለግኩ ነው።,Kutaa siree lama qabu barbaada.,I am looking for a room with twin beds.
እዚህ ውስጥ ማጨስ የለብወትም።,As keessa tamboo xuuxuu hin qabdu.,You should not smoke in here.
ስለ ቶም አድስ ንቅሳት ምን ያስባሉ?,Tattoo haaraa Toom maal jettu?,What do you think about Tom New's tattoo?
ፈረንሳይኛ ብናገር እመኛለሁ።,Osoon afaan Faransaayii dubbachuu danda'ee natti tola.,I wish I could speak French.
የምችለውን ሁሉ አድርጌያለሁ።,Waan danda'u hunda hojjedheera.,I have done everything I can.
ያንንም አስተውያለሁ።,Sanas hubadheera.,I noticed that too.
በየምሽቱ ለመተኛት ራሴን አለቀስኩ።,Halkan hunda hirribaaf ofumaan boo'a ture.,I cried myself to sleep every night.
ቀላል ውሳኔ አልነበረም።,Murtoo salphaa hin turre.,It was not an easy decision.
መኪናየን እንድጠግኑኝ ጠየቅኳቸው።,Konkolaataa koo akka naaf suphanin gaafadhe.,I asked them to fix my car.
በራሳችን መካከል ብቻ እሱ የሚሳካ አይመስለኝም።,"Jidduu keenya qofatti, waan milkaa'u natti hin fakkaatu.",I don't think he can succeed just among ourselves.
ለእሱ እርዳታ ምስጋና ይግባውና የቤት ስራየን ጨርሻለሁ።,Gargaarsa isaa irraa kan kaʼe hojii manaa koo xumureera.,"Thanks to his help, I finished our homework."
በቂ ኦክስጅን እያገኙ ነው።,Oksijiinii gahaa argachaa jirtaa.,You are getting enough oxygen.
